procedure_key,ccsr_procedure_code,ccsr_procedure_description
183,MAM003,PULMONARY ARTERIAL PRESSURE MONITORING
184,MAM004,CARDIAC STRESS TESTS
185,MAM005,MEASUREMENT DURING CARDIAC CATHETERIZATION
186,MAM006,PACEMAKER AND DEFIBRILLATOR INTERROGATION
187,MAM007,ELECTROCARDIOGRAM (ECG)
188,MAM008,CARDIAC MONITORING
189,MAM009,ELECTROPHYSIOLOGIC STUDIES
190,MAM010,OTHER CARDIOVASCULAR SYSTEM MEASUREMENT AND MONITORING
191,MAM011,ELECTROENCEPHALOGRAM (EEG)
192,MAM013,MONITORING OF PERIPHERAL NERVES
193,MAM015,"MEASUREMENT AND MONITORING, NEC"
194,MHT002,PSYCHOTHERAPY FOR MENTAL HEALTH (EXCLUDING SUBSTANCE USE)
195,MHT003,ELECTROCONVULSIVE THERAPY
196,MRS001,CIRCUMCISION
197,MRS002,PENIS PROCEDURES (EXCLUDING CIRCUMCISION)
198,MRS003,PROSTATECTOMY
199,MRS004,PROSTATE AND SEMINAL VESICLE PROCEDURES (EXCLUDING PROSTATECTOMY)
200,MRS005,MALE PERINEUM PROCEDURES
201,MRS007,"MALE REPRODUCTIVE SYSTEM PROCEDURES, NEC"
202,MST001,ARTHROCENTESIS
203,MST002,BONE AND JOINT BIOPSY
204,MST003,"SUBCUTANEOUS TISSUE, FASCIA, AND MUSCLE BIOPSY"
205,MST004,INCISION AND DRAINAGE OF MUSCULOSKELETAL TISSUE AND JOINTS
206,MST005,INCISION AND DRAINAGE OF SUBCUTANEOUS TISSUE AND FASCIA
207,MST006,KNEE ARTHROPLASTY
208,MST007,HIP ARTHROPLASTY
209,MST008,ARTHROPLASTY OF OTHER JOINT (EXCLUDING KNEE AND HIP)
210,MST009,FIXATION OF UPPER EXTREMITY BONES
211,MST010,FEMUR FIXATION
212,MST011,FIXATION OF LEG AND FOOT BONES
213,MST012,BONE FIXATION (EXCLUDING EXTREMITIES)
214,MST013,SPINE FUSION
215,MST014,JOINT FUSION (EXCLUDING SPINE)
216,MST015,CLOSED REDUCTION OF BONES AND JOINTS
217,MST016,VERTEBRAL DISCECTOMY
218,MST017,JOINT TISSUE EXCISION (EXCLUDING DISCECTOMY)
219,MST018,BONE EXCISION
220,MST019,"MUSCLE, TENDON, BURSA, AND LIGAMENT EXCISION"
221,MST020,SUBCUTANEOUS TISSUE AND FASCIA EXCISION
222,MST021,PERINEAL MUSCLE LACERATION REPAIR (2ND DEGREE OBSTETRICAL AND OTHER)
223,MST022,"TENDON, MUSCLE, BURSA, AND LIGAMENT REPAIR (EXCLUDING PERINEAL)"
224,MST023,TOE AND MID FOOT AMPUTATION
225,MST024,BELOW KNEE AMPUTATION
226,MST025,ABOVE KNEE AND OTHER PROXIMAL LOWER EXTREMITY AMPUTATION
227,MST026,FINGER AND OTHER UPPER EXTREMITY AMPUTATION
228,MST028,"SUBCUTANEOUS TISSUE AND FASCIA PROCEDURES, NEC"
229,MST029,"MUSCULOSKELETAL DEVICE PROCEDURES, NEC"
230,MST030,"MUSCULOSKELETAL PROCEDURES, NEC"
231,NONE,No Procedure Performed
232,OTR001,ROBOTIC-ASSISTED PROCEDURES
233,OTR002,COMPUTER-ASSISTED PROCEDURES
234,OTR003,FLUORESCENCE-GUIDED PROCEDURES
235,OTR004,ISOLATION PROCEDURES
236,PGN001,FETAL HEART RATE MONITORING
237,PGN002,SPONTANEOUS VAGINAL DELIVERY
238,PGN003,CESAREAN SECTION
239,PGN004,ASSISTED VAGINAL DELIVERY
240,PGN005,EPISIOTOMY
241,PGN006,REMOVAL OF PLACENTA AND OTHER RETAINED PRODUCTS OF CONCEPTION
242,PGN009,"PREGNANCY AND FETAL PROCEDURES, NEC"
243,PLC001,IMMOBILIZATION BY SPLINT OR OTHER EXTERNAL DEVICE
244,PLC002,PACKING AND DRESSING PROCEDURES
245,PNS001,LUMBOSACRAL NERVE DECOMPRESSION
246,PNS002,CERVICOTHORACIC NERVE DECOMPRESSION
247,PNS003,PERIPHERAL NERVE DECOMPRESSION (EXCLUDING LUMBOSACRAL AND CERVICOTHORACIC)
248,PNS004,NERVE REPAIR
249,PNS005,PERIPHERAL NERVE DENERVATION
250,PNS006,"PERIPHERAL NERVE PROCEDURES, NEC"
251,RAD001,BEAM RADIATION
252,RAD002,BRACHYTHERAPY
253,RAD004,"RADIATION THERAPY, NEC"
254,RES001,BRONCHOSCOPY (DIAGNOSTIC)
255,RES002,"LUNG, PLEURA, OR DIAPHRAGM BIOPSY (NON-ENDOSCOPIC)"
256,RES003,THORACENTESIS (DIAGNOSTIC)
257,RES004,BRONCHOSCOPY (THERAPEUTIC)
258,RES005,CHEST TUBE PLACEMENT AND THERAPEUTIC THORACENTESIS
259,RES006,OPEN AND THORACOSCOPIC PLEURAL DRAINAGE
260,RES007,AIRWAY INTUBATION
261,RES008,"LUNG, PLEURA, OR DIAPHRAGM RESECTION (OPEN AND THORACOSCOPIC)"
262,RES009,BRONCHOSCOPIC EXCISION AND FULGURATION
263,RES010,TRACHEOSTOMY
264,RES011,DIAPHRAGMATIC HERNIA REPAIR
265,RES012,RELEASE OF LUNG AND PLEURA
266,RES014,"RESPIRATORY SYSTEM PROCEDURES, NEC"
267,RHB001,"PHYSICAL, OCCUPATIONAL, AND RESPIRATORY THERAPY EVALUATION"
268,RHB002,"PHYSICAL, OCCUPATIONAL, AND RESPIRATORY THERAPY TREATMENT"
269,RHB003,SPEECH THERAPY EVALUATION
270,SKB001,SKIN BIOPSY AND DIAGNOSTIC DRAINAGE
271,SKB002,INCISION AND DRAINAGE OF SKIN
272,SKB003,MASTECTOMY AND LUMPECTOMY
273,SKB004,BREAST RECONSTRUCTION
274,SKB005,PERINEAL SKIN REPAIR (1ST DEGREE OBSTETRICAL AND OTHER)
275,SKB006,SKIN LACERATION REPAIR (EXCLUDING PERINEUM)
276,SKB007,SKIN GRAFT
277,SKB008,SKIN EXCISION AND DEBRIDEMENT
278,SKB009,NAIL PROCEDURES
279,SKB010,"SKIN AND BREAST PROCEDURES, NEC"
280,SUD001,SUBSTANCE USE DETOXIFICATION
281,SUD003,PSYCHOTHERAPY FOR SUBSTANCE USE
282,SUD004,COUNSELING FOR SUBSTANCE USE
283,URN001,CYSTOSCOPY AND URETEROSCOPY (INCLUDING BIOPSY)
284,URN002,KIDNEY AND OTHER URINARY TRACT BIOPSY (NON-ENDOSCOPIC)
285,URN003,URETER AND OTHER URINARY TRACT DILATION
286,URN004,REMOVAL OF CALCULI AND OTHER MATTER FROM URINARY TRACT
287,URN005,NEPHROSTOMY AND URETEROSTOMY PROCEDURES (INCLUDING STENTS)
288,URN006,BLADDER CATHETERIZATION AND DRAINAGE
289,URN007,URINARY TRACT REPAIR
290,URN008,NEPHRECTOMY AND URETERECTOMY
291,URN009,CYSTECTOMY (INCLUDING FULGURATION) AND URETHRECTOMY
292,URN010,URINARY DIVERSION WITH ANASTOMOSIS OR OSTOMY
293,URN011,KIDNEY TRANSPLANT
294,URN012,"URINARY SYSTEM PROCEDURES, NEC"
