respondent_idx,family_a_rate,family_c_rate,family_b_rate
415,0.0,0.0,0.0
416,0.0,0.0,0.0
417,0.0,0.0,0.0
418,0.007142857142857143,0.007142857142857143,
419,0.0,0.0,0.0
420,0.010452961672473868,0.006968641114982578,
421,0.0,0.0,0.0
422,0.0,0.0,0.0
423,0.014814814814814815,0.0,0.0
424,0.07575757575757576,0.003787878787878788,
425,0.0,0.0,0.0
426,0.0,0.0,0.0
427,0.034482758620689655,0.006896551724137931,
428,0.0,0.0,
429,0.0,0.0,0.0
430,0.004032258064516129,0.0,0.0
431,0.007722007722007722,0.0,0.0
432,0.12681159420289856,0.025362318840579712,
433,0.013422818791946308,0.0,0.47651006711409394
434,0.0,0.0,0.0
435,0.030303030303030304,0.0,
436,0.0,0.0,0.0
437,0.0,0.0,0.0
438,0.003401360544217687,0.0,0.0
439,0.0037174721189591076,0.0,0.0
440,0.0,0.0,0.0
441,0.0,0.0,0.0
442,0.003663003663003663,0.014652014652014652,
443,0.0,0.0,0.0
444,0.0,0.0,
445,0.0,0.0,0.0
446,0.00967741935483871,0.0,
447,0.009523809523809525,0.0,0.0
448,0.0,0.0,0.0
449,0.0,0.018518518518518517,
450,0.0,0.0,0.0
451,0.09689922480620156,0.015503875968992248,
452,0.10443037974683544,0.015822784810126583,
453,0.0,0.0,0.0
454,0.11073825503355705,0.003355704697986577,
455,0.0,0.007142857142857143,
456,0.018726591760299626,0.011235955056179775,
457,0.00816326530612245,0.0,0.0
458,0.004,0.016,
459,0.0,0.0,0.0
460,0.023346303501945526,0.0038910505836575876,
461,0.022388059701492536,0.0037313432835820895,
462,0.0,0.0,0.0
463,0.0058309037900874635,0.0,0.0
464,0.01092896174863388,0.03278688524590164,0.7704918032786885
465,0.0,0.0,0.0
466,0.0,0.0,0.0
467,0.0,0.0,0.0
468,0.036734693877551024,0.02040816326530612,
469,0.0,0.0,0.0
470,0.0,0.0,0.0
471,0.011299435028248588,0.0,0.748587570621469
472,0.0,0.0,0.0
473,0.015151515151515152,0.003787878787878788,
474,0.04895104895104895,0.0,0.0
475,0.0,0.0,
476,0.0,0.0,0.0
477,0.0,0.0,0.0
478,0.0,0.0,0.0
479,0.0,0.0,0.0
480,0.0,0.0,0.0
481,0.0,0.0,0.0
482,0.0,0.0,0.0
483,0.03802281368821293,0.0,0.0
484,0.03038674033149171,0.0,0.7790055248618785
485,0.009836065573770493,0.003278688524590164,
486,0.0,0.0,0.0
487,0.0,0.0,0.0
488,0.07023411371237458,0.016722408026755852,
489,0.003745318352059925,0.0,0.0
490,0.035842293906810034,0.0931899641577061,
491,0.0,0.0,0.0
492,0.0036231884057971015,0.021739130434782608,
493,0.0,0.0,0.0
494,0.004032258064516129,0.0,0.0
495,0.011583011583011582,0.003861003861003861,
496,0.0,0.0,0.0
497,0.003937007874015748,0.0,0.0
498,0.0,0.026022304832713755,
499,0.0,0.0,0.0
500,0.0,0.0,0.0
501,0.0,0.0,0.0
502,0.006557377049180328,0.0,0.0
503,0.022727272727272728,0.0,0.0
504,0.0,0.0,0.0
505,0.0,0.0,0.0
506,0.0,0.0,0.0
507,0.003389830508474576,0.003389830508474576,
508,0.0,0.0,0.0
509,0.052830188679245285,0.0,0.0
510,0.0030211480362537764,0.0,
511,0.019230769230769232,0.0,0.0
512,0.03389830508474576,0.0,
513,0.0,0.0,
514,0.003952569169960474,0.0,0.0
515,0.0,0.0,0.0
516,0.20238095238095238,0.026785714285714284,
517,0.0,0.0,0.0
518,0.003401360544217687,0.0,
519,0.008298755186721992,0.004149377593360996,
520,0.014598540145985401,0.0,0.0
521,0.0670926517571885,0.012779552715654952,
522,0.007407407407407408,0.014814814814814815,
523,0.01928374655647383,0.0,0.9173553719008265
524,0.055970149253731345,0.007462686567164179,
525,0.0,0.0,0.0
526,0.0,0.0,0.0
527,0.020242914979757085,0.0,0.0
528,0.0,0.0,0.0
529,0.05263157894736842,0.007518796992481203,
530,0.011904761904761904,0.002976190476190476,0.5267857142857143
531,0.0,0.0,0.0
532,0.0,0.0,0.0
533,0.041666666666666664,0.0,0.8472222222222222
534,0.0029940119760479044,0.020958083832335328,
535,0.0071174377224199285,0.07473309608540925,
536,0.15261044176706828,0.004016064257028112,
537,0.0,0.0,0.0
538,0.040892193308550186,0.022304832713754646,
539,0.007547169811320755,0.0037735849056603774,
540,0.003663003663003663,0.014652014652014652,
541,0.026936026936026935,0.010101010101010102,
