diagnosis_key,ccsr_diagnosis_code,ccsr_diagnosis_description
151,INJ008,"TRAUMATIC BRAIN INJURY (TBI); CONCUSSION, INITIAL ENCOUNTER"
152,INJ009,"SPINAL CORD INJURY (SCI), INITIAL ENCOUNTER"
153,INJ010,"INTERNAL ORGAN INJURY, INITIAL ENCOUNTER"
154,INJ011,"OPEN WOUNDS OF HEAD AND NECK, INITIAL ENCOUNTER"
155,INJ012,"OPEN WOUNDS TO LIMBS, INITIAL ENCOUNTER"
156,INJ013,"OPEN WOUNDS OF TRUNK, INITIAL ENCOUNTER"
157,INJ014,"AMPUTATION OF A LIMB, INITIAL ENCOUNTER"
158,INJ016,"INJURY TO BLOOD VESSELS, INITIAL ENCOUNTER"
159,INJ017,"SUPERFICIAL INJURY; CONTUSION, INITIAL ENCOUNTER"
160,INJ018,"CRUSHING INJURY, INITIAL ENCOUNTER"
161,INJ019,"BURN AND CORROSION, INITIAL ENCOUNTER"
162,INJ020,"EFFECT OF FOREIGN BODY ENTERING OPENING, INITIAL ENCOUNTER"
163,INJ021,"EFFECT OF OTHER EXTERNAL CAUSES, INITIAL ENCOUNTER"
164,INJ022,"POISONING BY DRUGS, INITIAL ENCOUNTER"
165,INJ023,"TOXIC EFFECTS, INITIAL ENCOUNTER"
166,INJ024,"SPRAINS AND STRAINS, INITIAL ENCOUNTER"
167,INJ025,"INJURY TO NERVES, MUSCLES AND TENDONS, INITIAL ENCOUNTER"
168,INJ026,OTHER SPECIFIED INJURY
169,INJ027,OTHER UNSPECIFIED INJURY
170,INJ028,"ADVERSE EFFECTS OF DRUGS AND MEDICAMENTS, INITIAL ENCOUNTER"
171,INJ030,DRUG INDUCED OR TOXIC RELATED CONDITION
172,INJ031,ALLERGIC REACTIONS
173,INJ032,MALTREATMENT/ABUSE
174,INJ033,"COMPLICATION OF CARDIOVASCULAR DEVICE, IMPLANT OR GRAFT, INITIAL ENCOUNTER"
175,INJ034,"COMPLICATION OF GENITOURINARY DEVICE, IMPLANT OR GRAFT, INITIAL ENCOUNTER"
176,INJ035,"COMPLICATION OF INTERNAL ORTHOPEDIC DEVICE OR IMPLANT, INITIAL ENCOUNTER"
177,INJ036,"COMPLICATION OF TRANSPLANTED ORGANS OR TISSUE, INITIAL ENCOUNTER"
178,INJ037,"COMPLICATION OF OTHER SURGICAL OR MEDICAL CARE, INJURY, INITIAL ENCOUNTER"
179,INJ038,"FRACTURE OF HEAD AND NECK, SUBSEQUENT ENCOUNTER"
180,INJ039,"FRACTURE OF THE SPINE AND BACK, SUBSEQUENT ENCOUNTER"
181,INJ040,"FRACTURE OF TORSO, SUBSEQUENT ENCOUNTER"
182,INJ041,"FRACTURE OF THE UPPER LIMB, SUBSEQUENT ENCOUNTER"
183,INJ042,"FRACTURE OF LOWER LIMB (EXCEPT HIP), SUBSEQUENT ENCOUNTER"
184,INJ043,"FRACTURE OF THE NECK OF THE FEMUR (HIP), SUBSEQUENT ENCOUNTER"
185,INJ044,"DISLOCATIONS, SUBSEQUENT ENCOUNTER"
186,INJ045,"TRAUMATIC BRAIN INJURY (TBI); CONCUSSION, SUBSEQUENT ENCOUNTER"
187,INJ046,"SPINAL CORD INJURY (SCI), SUBSEQUENT ENCOUNTER"
188,INJ047,"INTERNAL ORGAN INJURY, SUBSEQUENT ENCOUNTER"
189,INJ048,"OPEN WOUNDS OF HEAD AND NECK, SUBSEQUENT ENCOUNTER"
190,INJ049,"OPEN WOUNDS TO LIMBS, SUBSEQUENT ENCOUNTER"
191,INJ054,"SUPERFICIAL INJURY; CONTUSION, SUBSEQUENT ENCOUNTER"
192,INJ055,"CRUSHING INJURY, SUBSEQUENT ENCOUNTER"
193,INJ056,"BURNS AND CORROSION, SUBSEQUENT ENCOUNTER"
194,INJ064,"OTHER UNSPECIFIED INJURIES, SUBSEQUENT ENCOUNTER"
195,INJ069,"COMPLICATION OF CARDIOVASCULAR DEVICE, IMPLANT OR GRAFT, SUBSEQUENT ENCOUNTER"
196,INJ071,"COMPLICATION OF INTERNAL ORTHOPEDIC DEVICE OR IMPLANT, SUBSEQUENT ENCOUNTER"
197,INJ072,"COMPLICATION OF OTHER SURGICAL OR MEDICAL CARE, INJURY, SUBSEQUENT ENCOUNTER"
198,INJ073,"INJURY, SEQUELA"
199,INJ076,"COMPLICATION, SEQUELA"
200,MAL001,CARDIAC AND CIRCULATORY CONGENITAL ANOMALIES
201,MAL002,DIGESTIVE CONGENITAL ANOMALIES
202,MAL003,GENITOURINARY CONGENITAL ANOMALIES
203,MAL004,NERVOUS SYSTEM CONGENITAL ANOMALIES
204,MAL005,"CONGENITAL MALFORMATIONS OF EYE, EAR, FACE, NECK"
205,MAL006,CLEFT LIP OR PALATE
206,MAL007,RESPIRATORY CONGENITAL MALFORMATIONS
207,MAL008,MUSCULOSKELETAL CONGENITAL CONDITIONS
208,MAL009,CHROMOSOMAL ABNORMALITIES
209,MAL010,OTHER SPECIFIED AND UNSPECIFIED CONGENITAL ANOMALIES
210,MBD001,SCHIZOPHRENIA SPECTRUM AND OTHER PSYCHOTIC DISORDERS
211,MBD002,DEPRESSIVE DISORDERS
212,MBD003,BIPOLAR AND RELATED DISORDERS
213,MBD004,OTHER SPECIFIED AND UNSPECIFIED MOOD DISORDERS
214,MBD005,ANXIETY AND FEAR-RELATED DISORDERS
215,MBD006,OBSESSIVE-COMPULSIVE AND RELATED DISORDERS
216,MBD007,TRAUMA- AND STRESSOR-RELATED DISORDERS
217,MBD008,"DISRUPTIVE, IMPULSE-CONTROL AND CONDUCT DISORDERS"
218,MBD009,PERSONALITY DISORDERS
219,MBD010,FEEDING AND EATING DISORDERS
220,MBD011,SOMATIC DISORDERS
221,MBD012,SUICIDAL IDEATION/ATTEMPT/INTENTIONAL SELF-HARM
222,MBD013,MISCELLANEOUS MENTAL AND BEHAVIORAL DISORDERS/CONDITIONS
223,MBD014,NEURODEVELOPMENTAL DISORDERS
224,MBD017,ALCOHOL-RELATED DISORDERS
225,MBD018,OPIOID-RELATED DISORDERS
226,MBD019,CANNABIS-RELATED DISORDERS
227,MBD020,SEDATIVE-RELATED DISORDERS
